Unit ID,Inc #,Location,Latitude,Longitude,Inc Type,Started,Ended,Time Spent
102,18037342,116 ELMWOOD PL,40.61392,-74.42924,HOTSPOT PTRL,7/19/2018 10:23,7/19/2018 10:42,18.17
106,18037347,705 SOUTH AV,40.624635,-74.409144,HOTSPOT PTRL,7/19/2018 10:39,7/19/2018 11:20,40.88
108,18037369,202 PARK AV,40.617934,-74.422629,HOTSPOT PTRL,7/19/2018 12:32,7/19/2018 12:52,19.9
102,18038943,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PTRL,7/28/2018 8:29,7/28/2018 8:50,21.87
106,18038986,933 EAST FRONT ST,40.63329,-74.41469,HOTSPOT PTRL,7/28/2018 13:33,7/28/2018 13:54,21.22
103,18039010,950 PARK AV,40.611937,-74.412372,HOTSPOT PTRL,7/28/2018 16:16,7/28/2018 16:41,24.97
106,18039012,1002 EAST 2ND ST,40.632074,-74.4103,HOTSPOT PTRL,7/28/2018 16:19,7/28/2018 16:29,10.52
101,18039217,RUSHMORE AV & WEST 3RD ST,40.59914,-74.44603,HOTSPOT PTRL,7/29/2018 19:04,7/29/2018 19:22,17.32
102,18039310,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PTRL,7/30/2018 11:21,7/30/2018 11:44,23.03
102,18039795,300 WEST FRONT ST,40.61729,-74.425759,HOTSPOT PTRL,8/1/2018 16:33,8/1/2018 16:53,19.75
101,18040971,WASHINGTON SCHOOL / 427 DARROW AV,40.606662,-74.430546,HOTSPOT PTRL,8/8/2018 8:34,8/8/2018 9:02,27.35
102,18041726,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,8/12/2018 7:49,8/12/2018 8:17,27.9
102,18043069,215 WEST FRONT ST,40.617769,-74.424698,HOTSPOT PTRL,8/19/2018 16:26,8/19/2018 16:46,19.5
102,18043181,NEW ST & WEST FRONT ST,40.61611,-74.42735,HOTSPOT PTRL,8/20/2018 7:37,8/20/2018 7:48,11
103,18043191,538 WEST 7TH ST,40.609464,-74.423818,HOTSPOT PTRL,8/20/2018 8:45,8/20/2018 9:17,31.9
107,18043480,215 WEST FRONT ST,40.617769,-74.424698,HOTSPOT PTRL,8/21/2018 16:16,8/21/2018 16:32,15.98
104,18043591,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,8/22/2018 8:12,8/22/2018 8:39,27.47
102,18043614,600 PARK AV,40.615518,-74.418489,HOTSPOT PTRL,8/22/2018 10:49,8/22/2018 11:06,17
103,18043628,600 WEST 7TH ST,40.609114,-74.42426,HOTSPOT PTRL,8/22/2018 11:44,8/22/2018 12:21,37.17
101,18043995,931 WEST 3RD ST,40.605221,-74.436387,HOTSPOT PTRL,8/24/2018 11:02,8/24/2018 11:19,17.52
102,18044479,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,8/27/2018 7:56,8/27/2018 8:27,31.17
101,18044709,744 WEST 3RD ST,40.607683,-74.433102,HOTSPOT PTRL,8/28/2018 9:52,8/28/2018 10:13,20.98
102,18044906,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,8/29/2018 9:24,8/29/2018 9:48,24.53
101,18044925,931 WEST 3RD ST,40.605221,-74.436387,HOTSPOT PTRL,8/29/2018 11:07,8/29/2018 11:20,13.65
101,18044939,506 CLINTON AV,40.598279,-74.439671,HOTSPOT PTRL,8/29/2018 12:03,8/29/2018 12:15,11.63
102,18045102,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,8/30/2018 8:09,8/30/2018 8:21,11.88
106,18045538,305 EMERSON AV,40.634366,-74.406604,HOTSPOT PTRL,9/1/2018 14:58,9/1/2018 15:14,15.65
101,18046016,744 WEST 3RD ST,40.607683,-74.433102,HOTSPOT PTRL,9/4/2018 7:40,9/4/2018 8:02,22.87
106,18046078,330 TERRILL RD,40.636463,-74.395205,HOTSPOT PTRL,9/4/2018 12:09,9/4/2018 12:40,30.65
104,18046091,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,9/4/2018 13:34,9/4/2018 13:57,22.7
101,18046275,931 WEST 3RD ST,40.605221,-74.436387,HOTSPOT PTRL,9/5/2018 10:29,9/5/2018 10:37,7.55
101,18046279,931 WEST 3RD ST,40.605221,-74.436387,HOTSPOT PTRL,9/5/2018 10:39,9/5/2018 10:52,12.8
106,18046299,961 EAST FRONT ST,40.63381,-74.41316,HOTSPOT PTRL,9/5/2018 12:37,9/5/2018 13:02,25.37
101,18046303,931 WEST 3RD ST,40.605221,-74.436387,HOTSPOT PTRL,9/5/2018 12:40,9/5/2018 12:44,4.15
106,18046689,LELAND GARDENS BLDG'S 1 TO 4 / 1227 EAST FRONT ST,40.63688,-74.41063,HOTSPOT PTRL,9/7/2018 7:35,9/7/2018 7:51,15.98
103,18047056,601 WEST 7TH ST,40.608965,-74.424157,HOTSPOT PTRL,9/9/2018 7:21,9/9/2018 8:10,48.72
106,18047061,1227 EAST FRONT ST,40.63688,-74.41063,HOTSPOT PTRL,9/9/2018 8:35,9/9/2018 9:06,31.1
102,18047075,600 PARK AV,40.615518,-74.418489,HOTSPOT PTRL,9/9/2018 10:38,9/9/2018 10:39,0.38
106,18047084,705 SOUTH AV,40.624635,-74.409144,HOTSPOT PTRL,9/9/2018 12:10,9/9/2018 12:24,13.62
106,18047278,305 EMERSON AV,40.634366,-74.406604,HOTSPOT PTRL,9/10/2018 15:36,9/10/2018 16:19,42.7
106,18047345,800 EAST FRONT ST,40.630582,-74.413748,HOTSPOT PTRL,9/11/2018 0:40,9/11/2018 0:59,18.57
